user,percentage_personalization,response_probability,accuracy,f1
1,0.2,0.8,76.69376693766938,0.7540585054579628
1,0.2,0.9,79.67479674796748,0.7852857214754916
1,0.2,1.0,81.02981029810299,0.7988828879090761
1,0.5,0.1,73.44173441734418,0.7200962356079259
1,0.5,0.2,76.96476964769647,0.7557369915869371
1,0.5,0.5,83.19783197831978,0.8248835654468543
1,0.5,0.8,81.57181571815718,0.805318862856705
1,0.5,0.9,83.73983739837398,0.8316854980316073
1,0.5,1.0,86.72086720867209,0.8631211737506723
1,0.8,0.1,82.65582655826559,0.8223315865338158
1,0.8,0.2,79.40379403794039,0.7812150526972781
1,0.8,0.5,84.01084010840108,0.8348727436495673
1,0.8,0.8,86.44986449864498,0.858552964465473
1,0.8,0.9,88.07588075880759,0.8763737204664356
1,0.8,1.0,90.78590785907859,0.9057959468902865
1,0.99,0.1,61.24661246612466,0.581760031149843
1,0.99,0.2,84.28184281842819,0.8366982037898145
1,0.99,0.5,84.28184281842819,0.8368794824986884
1,0.99,0.8,89.97289972899729,0.8967855424946636
1,0.99,0.9,91.0569105691057,0.907887440162099
1,0.99,1.0,91.59891598915989,0.9139103787461167
2,0.0,0.0,68.71657754010695,0.6884533485943061
2,0.05,0.1,38.77005347593583,0.235217990776399
2,0.05,0.2,35.56149732620321,0.2068554934151182
2,0.05,0.5,70.58823529411765,0.6336081323617149
2,0.05,0.8,83.9572192513369,0.8332303278962723
2,0.05,0.9,82.0855614973262,0.8199438534684109
2,0.05,1.0,85.29411764705883,0.8507910491082313
2,0.1,0.1,72.45989304812834,0.6891952249996518
2,0.1,0.2,57.75401069518717,0.45573027005678635
2,0.1,0.5,81.81818181818181,0.8201012514811314
2,0.1,0.8,88.77005347593582,0.8882420275308982
2,0.1,0.9,81.55080213903743,0.8051852800009709
2,0.1,1.0,89.3048128342246,0.8923331834238301
2,0.2,0.1,87.16577540106952,0.8708754529026763
2,0.2,0.2,65.50802139037434,0.5917316698536096
2,0.2,0.5,92.24598930481284,0.924491941884597
2,0.2,0.8,90.64171122994652,0.9083268772198412
2,0.2,0.9,87.70053475935829,0.8771216775246884
2,0.2,1.0,90.10695187165776,0.9031512294823798
2,0.5,0.1,87.16577540106952,0.8724080394915195
2,0.5,0.2,81.81818181818181,0.8145379138468407
2,0.5,0.5,92.7807486631016,0.9295502798267794
2,0.5,0.8,91.97860962566845,0.9201132034429994
2,0.5,0.9,91.97860962566845,0.920287809129392
2,0.5,1.0,94.91978609625669,0.9500599653318453
2,0.8,0.1,84.22459893048128,0.8416410256410256
2,0.8,0.2,95.45454545454545,0.9548812848996343
2,0.8,0.5,93.31550802139037,0.9337658073590737
2,0.8,0.8,95.45454545454545,0.9551565609857547
2,0.8,0.9,94.6524064171123,0.9471163098914989
2,0.8,1.0,95.72192513368984,0.9580071512216257
2,0.99,0.1,79.67914438502673,0.796796036372698
2,0.99,0.2,92.7807486631016,0.9280054814776527
2,0.99,0.5,94.38502673796792,0.9451222014101234
2,0.99,0.8,97.59358288770053,0.9760018152652672
2,0.99,0.9,95.72192513368984,0.9583163964069346
2,0.99,1.0,96.2566844919786,0.9634688376582023
7,0.0,0.0,75.46174142480211,0.7504490899053203
7,0.05,0.1,59.894459102902374,0.558920063229364
7,0.05,0.2,67.01846965699208,0.6174323648732395
7,0.05,0.5,83.64116094986808,0.8362535560362943
7,0.05,0.8,68.86543535620052,0.6450384072275084
7,0.05,0.9,77.04485488126649,0.7648032448117331
7,0.05,1.0,79.41952506596306,0.7901006166828951
7,0.1,0.2,64.90765171503958,0.5833188167641863
7,0.1,0.5,86.2796833773087,0.866091704123626
7,0.1,0.8,83.37730870712402,0.8339662415327037
7,0.1,0.9,81.00263852242745,0.8072387061150013
7,0.1,1.0,84.1688654353562,0.8414096322917327
7,0.2,0.1,69.92084432717678,0.6937104500709326
7,0.2,0.2,77.83641160949868,0.7656467891694249
7,0.2,0.5,77.30870712401055,0.7615631900302786
7,0.2,0.8,88.91820580474933,0.8899439725522639
7,0.2,0.9,86.54353562005277,0.8622228377765705
7,0.2,1.0,93.13984168865436,0.9321502737766989
7,0.5,0.1,66.49076517150395,0.6143611911429534
7,0.5,0.2,87.33509234828496,0.8757050604785397
7,0.5,0.5,91.82058047493403,0.9191814425693815
7,0.5,0.8,93.93139841688654,0.9404176574599109
7,0.5,0.9,94.9868073878628,0.9505385822273867
7,0.5,1.0,96.04221635883906,0.9609826197217565
7,0.8,0.1,72.03166226912928,0.6862721407217237
7,0.8,0.2,89.44591029023746,0.8960300887482491
7,0.8,0.5,90.76517150395779,0.9080755245350538
